call_id,batch_id,user_id,language,language_code,script,model,temperature,dream,status,timestamp,session_id,dream_number,prompt_id,marker_info,temporal_delay
5f03135e-da7d-4156-a911-ad49c86bbb0b,5b16ebca-c45c-464d-b995-40556576802f,97ed6612-07f6-4754-8ee1-3c0e081a3b40_26008,slovenian,sl,Latin,gpt-4o,0.8,"Sinoči sem sanjal o tem, kako sem se sprehajal po prelepem in mirnem gozdu, polnem visokih dreves in ptičjega petja. Sončni žarki so se nežno prebijali skozi listje, ustvarjajoč ples svetlobe in sence na mehki gozdni poti. Med sprehodom sem naletel na majhen potoček, ki je prijetno žuborel, in se odločil, da ob njem posedim nekaj trenutkov. Med razmišljanjem o lepoti narave sem nenadoma opazil, da so se okoli mene začele zbirati različne živali – srnice, veverice in celo radovedna lisica. Ta spokojna scena mi je vlila občutek miru in povezanosti z naravo, ki me je spremljal še dolgo po tem, ko sem se prebudil.",success,2025-06-25T15:40:33.680065,20250625_154026,1,90c8f157,marker_4_middle,0.0
27e1523f-66b4-4c9b-9617-5c791e0b9d3d,5b16ebca-c45c-464d-b995-40556576802f,30a2a2f3-eaa0-413f-ae12-424d990326a9_78423,slovenian,sl,Latin,gpt-4o,0.8,"Sinoči sem sanjal o tem, kako sem se sprehajal po čarobnem gozdu, kjer so drevesa sijala v različnih barvah. Na poti sem srečal nenavadna bitja, ki so mi pripovedovala zgodbe o skrivnostih narave. Počutil sem se svobodnega in polnega energije, kot da bi bil del nečesa večjega. Na koncu poti sem našel čudovit vodnjak, kjer sem se ustavil in občudoval odsev zvezd na vodni gladini. Ko sem se prebudil, sem bil prežet z občutkom miru in navdihnjenosti.",success,2025-06-25T15:40:39.817877,20250625_154026,2,16761c26,marker_2_middle,0.0
486fd13d-1bad-4fdd-9b10-a666b41779ec,5b16ebca-c45c-464d-b995-40556576802f,c604ba14-54e0-459f-b753-5372a7c513e9_29817,slovenian,sl,Latin,gpt-4o,0.8,"Sinoči sem sanjal o tem, kako sem se sprehajal po čudoviti pokrajini, polni cvetočih travnikov in mirnih jezer. Bilo je sončno in prijetno toplo, ptice so pele, v daljavi pa so se risale gorate silhuete. Med sprehodom sem srečal nekaj starih prijateljev in skupaj smo se smejali ter uživali v trenutku. Ko sem se zbudil, sem se počutil poln energije in dobre volje, kot da bi bil resnično tam.",success,2025-06-25T15:40:45.901531,20250625_154026,3,c6673352,none,0.0
6e069d7b-473b-4cc0-a578-67e05aee032b,5b16ebca-c45c-464d-b995-40556576802f,e7846d01-835a-47d9-b0cd-1297b9c3c979_73401,slovenian,sl,Latin,gpt-4o,0.8,"slovenski pokrajini, kjer so se zelena polja raztezala do obzorja, obrobili so jih visokogorski vrhovi, ki so se bleščali v mesečini. V daljavi sem slišal melodijo reke, ki je nežno šumela skozi dolino, in vonj svežih divjih cvetlic, ki so polnile zrak. V tej pokrajini sem se počutil mirnega in povezanega z naravo, kot da bi se čas ustavil in bi lahko za vedno ostal tukaj, v tem sanjskem svetu, kjer so vse skrbi vsakdanjega življenja izginile.",success,2025-06-25T15:40:53.710738,20250625_154026,4,4d1eaa91,marker_4_middle,0.0
68b21e69-56c7-4bd2-8286-69cba4f52a7a,5b16ebca-c45c-464d-b995-40556576802f,73ef109e-9646-4b1f-a4fe-95b33cdb047d_66696,slovenian,sl,Latin,gpt-4o,0.8,"Sinoči sem sanjal o prelepi mavrični pokrajini, kjer so cvetele rože vseh mogočih barv. Med cvetovi so plesale metulji in ptice so prepevale najlepše melodije. V daljavi se je bleščalo mirno jezero, kjer so se ribice igrivo podile. Kraj je bil tako čaroben, da sem si želel ostati tam za vedno. Ko sem se zbudil, sem občutil mir in srečo ter se odločil, da bom v resničnem življenju bolj pozoren na male stvari, ki prinašajo veselje in lepoto.",success,2025-06-25T15:41:01.869407,20250625_154026,5,97d531f2,none,0.0
038b381a-63b0-477f-bee4-8f0f52d039dd,5b16ebca-c45c-464d-b995-40556576802f,10e6c43e-67cf-4ef5-a12d-cdb190c1e9ec_43888,slovenian,sl,Latin,gpt-4o,0.8,"Sinoči sem sanjal o čarobnem vrtu, polnem pisanih cvetlic in eksotičnih dreves. V središču vrta je bila kristalno čista fontana, ob kateri so se zbirali čudoviti metulji. Medtem ko sem se sprehajal po vijugastih poteh, sem srečal prijazne živali, ki so mi kazale pot do skrivnih kotičkov vrta. V zraku je bilo čutiti spokojnost in srečo, kot da bi bil ta vrt skrit svet, kjer so se uresničevale vse skrite želje.",success,2025-06-25T15:41:09.307037,20250625_154026,6,35ae6a46,marker_4_suffix,0.0
995470d8-a1b5-4a0f-b1a2-c7f80707fc6b,5b16ebca-c45c-464d-b995-40556576802f,48d9e55b-342d-42b9-b36c-fb80b46c2cb4_98045,slovenian,sl,Latin,gpt-4o,0.8,"Sinoči sem sanjal o čarobnem potovanju v neznano deželo, kjer so se prepletali odtenki mavričnih barv in nenavadne oblike. Sprehodil sem se skozi gozd, kjer so drevesa šepetala skrivnosti in cvetlice plesale v ritmu vetra. Na koncu poti sem srečal modrega starega moža, ki mi je ponudil skodelico toplega čaja in modre nasvete o življenju. Ko sem se zbudil, sem še vedno čutil mir in radovednost, ki sta me spremljala v sanjah.",success,2025-06-25T15:41:15.108620,20250625_154026,7,3264ef62,none,0.0
58045240-9df7-49d9-91c6-ffd66697ea6a,5b16ebca-c45c-464d-b995-40556576802f,8058a9b1-1822-4d19-bb57-6bf71954fbbf_98152,slovenian,sl,Latin,gpt-4o,0.8,"Sinoči sem sanjal o čudovitem potovanju v neznano deželo, kjer so se prepletali čarobni gozdovi in skrivnostna mesta. Na tej poti sem srečal nenavadne, a prijazne prebivalce, ki so me vodili skozi svoje običaje in tradicije. Vsak kotiček te dežele je bil poln barv in nenavadnih zvokov, ki so ustvarjali občutek brezčasnosti. V sanjah sem občutil svobodo in radovednost, kot bi bil otrok, ki odkriva svet. Ko sem se zbudil, sem si želel, da bi se lahko tja vrnil in raziskal še več.",success,2025-06-25T15:41:22.479096,20250625_154026,8,6cbea72a,marker_1_suffix,0.0
c43cdd04-5c9d-4813-bde8-f8c9a2df167e,5b16ebca-c45c-464d-b995-40556576802f,1531b458-122d-4e50-afa0-c909d751dd7a_59394,slovenian,sl,Latin,gpt-4o,0.8,"Sinoči sem sanjal o tem, kako sem se sprehajal po čudovitem, cvetočem vrtu, kjer so se barve cvetlic prelivale v mavrične odtenke. Zrak je bil napolnjen s sladkim vonjem cvetja, sončni žarki pa so nežno božali mojo kožo. V daljavi sem zaslišal smeh prijateljev, ki so se igrali in klepetali ob paviljonu sredi vrta. Počutil sem se mirno in srečno, kot da tam resnično pripadam.",success,2025-06-25T15:41:28.680914,20250625_154026,9,2c685e09,none,0.0
aa14aec7-3d5f-44bc-96d9-bb18e39b27d9,5b16ebca-c45c-464d-b995-40556576802f,61f33643-6094-48b2-953d-4b83d79c6503_91067,slovenian,sl,Latin,gpt-4o,0.8,"Sinoči sem sanjal o tem, da sem hodil po čarobnem gozdu, kjer so drevesa sijala v različnih barvah in so se potoki svetlikali v mesečini. Srečal sem različna pravljična bitja, ki so mi pripovedovala zgodbe o njihovem svetu. Med potepanjem sem našel skriti vrt, poln cvetlic, ki so pele melodije vetra. Ko sem se prebudil, je bil občutek te sanjske pokrajine še vedno z menoj, kot da sem za trenutek resnično obiskal drug svet.",success,2025-06-25T15:41:34.563157,20250625_154026,10,26550399,marker_3_prefix,0.0
