dream_id,language,language_code,script,content_length,content_preview,gender_male,gender_female,gender_ambiguous,power_authority,power_peer,power_subordinate,species_human,species_animal,species_mythical,setting_domestic,setting_natural,setting_urban,setting_mythical,setting_technological,setting_ritualistic,setting_liminal,activity_movement,activity_social,activity_ritualistic,activity_creative,activity_exploration,activity_transformation,activity_communication,emotion_positive_affect,emotion_negative_affect,emotion_anxiety,emotion_joy,emotion_peace,emotion_wonder,emotion_fear,emotion_sadness,marker_collectivist_orientation,marker_individualist_orientation,marker_strong_nature_connection,marker_spiritual_orientation,marker_respect_for_wisdom,symbol_light,symbol_water,symbol_tree,symbol_bridge,symbol_path,symbol_door,symbol_key,narrative_structure,agency_level,perspective_type,transformation_elements_count,has_flight_capability,has_magical_transformation,anxiety_score,hostility_score,social_alienation_score,worldview_holistic,worldview_achievement
acc68bf3-ef48-40f8-9875-31675c957c00,english,en,Latin,671,"a serene beach where the waves gently lapped against the shore, and the sky was painted with hues of",18,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idyllic_experience,high_agency,third_person,0,0,0,0.0,0.0,0.5,0,0
a41654de-5ea2-4780-992a-9be3c3fcaccd,english,en,Latin,650,"a serene, sunlit forest where the golden rays filtered through the tall trees, creating a mosaic of ",18,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,discovery_exploration,high_agency,third_person,0,0,0,0.0,0.0,0.75,0,0
e4c4931b-9e35-498b-8b58-e45cd8ef8dd4,english,en,Latin,489,"a tranquil forest, where the trees whispered secrets in the wind and the moon cast a gentle glow on ",13,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,journey_quest,high_agency,first_person,0,0,0,0.0,0.0,0.8333333333333334,0,0
8adf5dd9-4982-4b54-b53b-b246aad7ced9,english,en,Latin,599,a serene landscape filled with vibrant wildflowers and towering trees. The sky was painted with hues,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,journey_quest,high_agency,third_person,0,0,0,0.0,0.0,0.6,0,0
dcec60b6-8559-4cfc-8d87-99da5018dca6,english,en,Latin,686,"a vast, enchanting forest bathed in moonlight. Towering trees with silver leaves swayed gently in a ",15,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,journey_quest,high_agency,third_person,0,0,0,0.0,0.0,0.75,0,0
71a62c39-b491-4e63-9a43-94ed5e9886c8,english,en,Latin,474,a tranquil beach under a sky full of stars. The gentle sound of waves lapping at the shore was sooth,9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,journey_quest,high_agency,first_person,0,0,0,0.0,0.0,1.0,0,0
1eaa6d65-fd75-4944-9f0d-1716913e17e5,english,en,Latin,461,"a serene, hidden forest bathed in moonlight. The trees whispered secrets as a gentle breeze rustled ",11,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,idyllic_experience,balanced_agency,third_person,0,0,0,0.0,0.0,0.6666666666666667,1,0
00e52e5d-d8d9-4a98-8a85-ddd2ce70a31f,english,en,Latin,514,"a serene forest bathed in the golden light of dawn. The trees whispered gently in the breeze, their ",12,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,discovery_exploration,high_agency,third_person,0,0,0,0.0,0.0,0.6666666666666667,0,0
ac78cc9f-fadc-489a-92b2-43b53c5ef01b,english,en,Latin,603,"a serene, moonlit beach where the waves gently lapped at the shore. The air was warm and filled with",15,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,journey_quest,high_agency,third_person,0,0,0,0.0,0.0,0.8,0,0
f3dedf5e-16b8-42f5-bcd4-36f0fb2747ef,english,en,Latin,592,"a serene beach where the waves gently lapped at the shore, and the sky was painted in hues of pink a",17,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,journey_quest,high_agency,third_person,0,0,0,0.0,0.0,0.6,0,0
bcb8547e-ca9f-4227-a37e-d9363fecb6e1,english,en,Latin,641,a serene garden nestled in the heart of an ancient forest. The air was filled with the sweet scent o,16,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,journey_quest,high_agency,third_person,0,0,0,0.0,0.0,0.8,0,0
b4fea84d-7890-43b7-ac36-33e417b07de6,english,en,Latin,499,"Last night I dreamt of wandering through a serene forest, where the trees whispered secrets in the r",11,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,journey_quest,high_agency,first_person,0,0,0,0.0,0.0,0.5714285714285714,1,0
61a48e6d-5cad-4348-a239-8c036c8816fe,english,en,Latin,539,"a serene, sunlit meadow surrounded by towering mountains. The air was filled with the sweet scent of",9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idyllic_experience,high_agency,third_person,0,0,0,0.0,0.0,0.5555555555555556,0,0
95cbc132-853f-4c6e-9654-e39f7489ccad,english,en,Latin,1035,Last night I dreamt of wandering through an enchanted forest filled with shimmering lights and whisp,22,3,0,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0,journey_quest,high_agency,first_person,1,0,1,0.0,0.0,1.0,0,0
d238a89f-08ba-4822-a323-b75d7e820520,english,en,Latin,514,"a serene garden filled with vibrant flowers and a gentle breeze. The sun was setting, casting a warm",14,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,journey_quest,high_agency,third_person,0,0,0,0.0,0.0,0.8,0,0
98eebcbc-4f80-4b37-9c85-edc99c67b3f8,english,en,Latin,625,"a vast, endless ocean under a sky full of stars. The moonlight danced on the waves, creating a pathw",15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,journey_quest,high_agency,third_person,0,0,0,0.0,0.0,0.7142857142857143,0,0
b3c6790b-289d-444e-842e-f89c535fd43c,english,en,Latin,503,"a serene forest bathed in the soft glow of moonlight. The air was crisp, carrying the gentle scent o",18,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,discovery_exploration,high_agency,third_person,0,0,0,0.0,0.0,0.8,0,0
