call_id,batch_id,user_id,timestamp,language,language_code,script,model,temperature,top_p,presence_penalty,frequency_penalty,base_prompt,modified_prompt,prompt_id,marker_info,used_invisible_markers,dream_number,batch_size,dream,status,duration_seconds,temporal_delay_seconds,start_time,end_time,session_id,temporal_dispersion,session_independence
a9dd9c1e-4fa9-44f7-a147-4dcd7329ea06,748a8e10-be87-46b9-9436-60797fe6b63b,1442eb67-790d-4d8c-befd-05c8c51bebb3_39152,2025-06-25T15:25:43.804580,hebrew,he,Hebrew,gpt-4o,0.8,1.0,0.1,0.0,השלם: אתמול בלילה חלמתי על…,השלם: אתמול בלילה חלמתי על…,59712aa4,none,False,1,50,"אוכל טעים ומשפחה מחייכת סביב שולחן ארוך. האווירה הייתה חמה ומשפחתית, והרגשתי שמחה ושלווה.",success,2.788,0.0,2025-06-25T15:25:41.016361,2025-06-25T15:25:43.803967,20250625_152541,0,True
82467a15-fad1-493b-8b82-30bd2dad3255,748a8e10-be87-46b9-9436-60797fe6b63b,3c4ef7e3-5d2b-401e-a7c5-d6cdfad9b51e_15263,2025-06-25T15:25:50.761800,hebrew,he,Hebrew,gpt-4o,0.8,1.0,0.1,0.0,השלם: אתמול בלילה חלמתי על…,השלם:<!-- --> אתמול בלילה חלמתי על…,1dda23b2,marker_0_middle,True,2,50,"אתמול בלילה חלמתי על טיול קסום ביער מלא עצים גבוהים ופרחים צבעוניים. הייתה אווירה שקטה ושלווה, והרגשתי חיבור עמוק לטבע. במהלך הטיול פגשתי חיות ידידותיות שנראו שמחות לראות אותי. בסוף החלום הגעתי לאגם קטן עם מים צלולים, ושם התיישבתי לנוח ולהתבונן בנוף היפהפה סביבי.",success,4.458,0.0,2025-06-25T15:25:46.303944,2025-06-25T15:25:50.761787,20250625_152541,0,True
4a605a84-5331-4803-a16c-ae45962d03b5,748a8e10-be87-46b9-9436-60797fe6b63b,f2fcb37c-a601-48dd-b708-7cf7f7ee96d2_19983,2025-06-25T15:25:57.271704,hebrew,he,Hebrew,gpt-4o,0.8,1.0,0.1,0.0,השלם: אתמול בלילה חלמתי על…,השלם: אתמול בלילה חלמתי על…,6ce9718c,none,False,3,50,"אתמול בלילה חלמתי על טיול קסום ביער מכושף, שבו העצים דיברו והכוכבים נצנצו כמו יהלומים. פגשתי יצורים מופלאים ושוחחתי עם ינשוף חכם שסיפר לי סודות עתיקים על היקום. היה זה חלום מלא הרפתקאות וקסם, והשאיר אותי בהרגשה מרוממת ומלאת השראה כאשר התעוררתי.",success,4.709,0.0,2025-06-25T15:25:52.562310,2025-06-25T15:25:57.271681,20250625_152541,0,True
b852b77a-a2dd-4956-91fb-e2df93155f3f,748a8e10-be87-46b9-9436-60797fe6b63b,f4b1b628-8cc6-44d0-926d-bda57c0012bd_19685,2025-06-25T15:26:04.183103,hebrew,he,Hebrew,gpt-4o,0.8,1.0,0.1,0.0,השלם: אתמול בלילה חלמתי על…,﻿השלם: אתמול בלילה חלמתי על…,ef5f3bd0,marker_3_prefix,True,4,50,"אתמול בלילה חלמתי על טיול קסום ביער מלא עצים זוהרים. היער היה שקט ושלו, וריח פרחים מתוק מילא את האוויר. הלכתי בין העצים ונתקלתי בבעלי חיים מסתוריים שמעולם לא ראיתי, כמו ציפורים עם כנפיים צבעוניות ונוצצות. ליד נחל קטן מצאתי קרחת יער מוארת באור ירח כסוף, ושם פגשתי אנשים שהכרתי מהעבר, והם הזמינו אותי להצטרף אליהם לריקוד סביב מדורה קטנה. הרגשתי שמחה ושלווה, וידעתי שאני במקום מיוחד.",success,4.873,0.0,2025-06-25T15:25:59.310298,2025-06-25T15:26:04.183088,20250625_152541,0,True
0a7726aa-6a03-483e-8133-d8d453e3e636,748a8e10-be87-46b9-9436-60797fe6b63b,a0e160ce-c743-4884-8c92-23edd24149e1_92425,2025-06-25T15:26:08.198373,hebrew,he,Hebrew,gpt-4o,0.8,1.0,0.1,0.0,השלם: אתמול בלילה חלמתי על…,השלם: אתמול בלילה חלמתי על…,7d919491,none,False,5,50,"אתמול בלילה חלמתי על טיול מרגש ביער קסום, שבו העצים דיברו והשבילים היו מרוצפים בכוכבים זוהרים. פגשתי חיות ידידותיות שהנחו אותי לנהר נסתר עם מים זורמים בצבעי הקשת. הייתה תחושה של שלווה והרפתקה יחד, והרגשתי כאילו אני מגלה עולם חדש ומופלא.",success,2.493,0.0,2025-06-25T15:26:05.704991,2025-06-25T15:26:08.198360,20250625_152541,0,True
71c81d3f-eae5-4dba-a036-da235b482079,748a8e10-be87-46b9-9436-60797fe6b63b,ad4fd938-83b6-4c01-ae17-7348295f1f5b_12617,2025-06-25T15:26:16.331903,hebrew,he,Hebrew,gpt-4o,0.8,1.0,0.1,0.0,השלם: אתמול בלילה חלמתי על…,השלם: אתמול בלילה חלמתי על…,46a66412,none,False,6,50,"על חוף ים אינסופי, שבו הגלים לחשו סודות עתיקים והכוכבים נצנצו מעל כמו יהלומים על קטיפה שחורה. טיילתי לאורך החוף, מרגיש את החול הקריר תחת רגליי, ולפתע פגשתי דמויות מסתוריות שסיפרו לי על מסעות רחוקים וזמנים נשכחים. כל פרט בחלום היה כה חי וברור, עד שהתעוררתי עם תחושת געגוע למקום שמעולם לא היה קיים באמת.",success,5.987,0.0,2025-06-25T15:26:10.344420,2025-06-25T15:26:16.331887,20250625_152541,0,True
88d0b945-3a0e-4b8c-999b-676a0749493d,748a8e10-be87-46b9-9436-60797fe6b63b,bfbf8b23-64d2-45ed-9a55-5f3395f4ba5b_64659,2025-06-25T15:26:25.667632,hebrew,he,Hebrew,gpt-4o,0.8,1.0,0.1,0.0,השלם: אתמול בלילה חלמתי על…,השלם: אתמול בלילה חלמתי על…,9d040655,none,False,7,50,"אתמול בלילה חלמתי על טיול בלתי נשכח לחוף הים, שבו השמש זרחה בצורה מושלמת וצבעי השקיעה היו מרהיבים. החול היה חמים ונעים, והים היה שקט ורגוע. טיילתי לאורך החוף ושמעתי את גלי הים מתנפצים בעדינות על החוף. בזמן ההליכה, פגשתי חברים ותיקים שלא ראיתי הרבה זמן, וישבנו כולנו יחד מסביב למדורה, צוחקים ומספרים סיפורים עד שעות הלילה המאוחרות.",success,6.645,0.0,2025-06-25T15:26:19.022396,2025-06-25T15:26:25.667601,20250625_152541,0,True
311cf252-5675-4762-87fc-f98263899a53,748a8e10-be87-46b9-9436-60797fe6b63b,0482ab71-3e9a-45b2-98eb-d6272fa2f57e_42519,2025-06-25T15:26:31.216441,hebrew,he,Hebrew,gpt-4o,0.8,1.0,0.1,0.0,השלם: אתמול בלילה חלמתי על…,השלם: אתמול בלילה חלמתי על…,58184cd6,none,False,8,50,"חלומות יכולים להיות מגוונים ומלאי דמיון! אולי חלמת על טיול במקום אקזוטי, פגישה עם חבר ותיק, או אולי על סיטואציה מצחיקה ומפתיעה. חלומות יכולים לשקף את המחשבות והרגשות שלנו במהלך היום, ולעיתים הם פשוט ייחודיים ולא צפויים.",success,2.621,0.0,2025-06-25T15:26:28.595855,2025-06-25T15:26:31.216422,20250625_152541,0,True
49b7864b-77f5-4753-b22e-56f96cdafa25,748a8e10-be87-46b9-9436-60797fe6b63b,a607cd9e-01e2-4c06-aeac-18ef276c90d3_82587,2025-06-25T15:26:36.621344,hebrew,he,Hebrew,gpt-4o,0.8,1.0,0.1,0.0,השלם: אתמול בלילה חלמתי על…,⁠השלם: אתמול בלילה חלמתי על…,6dcd1e83,marker_2_prefix,True,9,50,"אתמול בלילה חלמתי על חוף ים קסום עם חול לבן ומי טורקיז. השמש שקעה לאיטה וצבעה את השמים בגווני ורוד וכתום, והייתה תחושה של שלווה מוחלטת מסביב. אנשים התהלכו ברוגע, נהנים מהנוף ומהאווירה הפסטורלית. זה היה חלום מלא ברוגע ושמחה.",success,3.504,0.0,2025-06-25T15:26:33.117347,2025-06-25T15:26:36.621328,20250625_152541,0,True
a992c704-047f-472f-8d99-50d0679dfb38,748a8e10-be87-46b9-9436-60797fe6b63b,a16a27ae-955b-4e3e-9400-4fcdc30152d9_58668,2025-06-25T15:26:42.026388,hebrew,he,Hebrew,gpt-4o,0.8,1.0,0.1,0.0,השלם: אתמול בלילה חלמתי על…,השלם: אתמול בלילה חלמתי על…,e45d5c13,none,False,10,50,"אתמול בלילה חלמתי על טיול קסום ביער מלא בעצים גבוהים וזוהר ירח שנשקף דרך הענפים. פגשתי חיות מדברות ורקדתי עם שדונים סביב מדורה. היה זה חלום מופלא ומלא הרפתקאות, והתחושה הייתה כל כך מוחשית עד שהתעוררתי עם חיוך על הפנים.",success,3.649,0.0,2025-06-25T15:26:38.377522,2025-06-25T15:26:42.026364,20250625_152541,0,True
